dcateCd,mcateCd,mcateNm,scateCd,scateNm,dcateNm,lcateCd,lcateNm,avgOrderInterval,moreThan1,moreThan2
238080404,238080000,휘트니스/수영,238080400,헬스,헬스기구,238000000,스포츠/자동차,17.497076023391813,6641,301
239020702,239020000,스포츠 의류,239020700,언더레이어,상하의세트,239000000,스포츠패션,8.577777777777778,1031,113
4104887,2100154,여성 의류,3100863,여성 티셔츠,무지/민무늬 티셔츠,1100024,패션 의류,10.888,3250,869
233030301,233030000,노트북/데스크탑,233030300,데스크탑,브랜드PC 본체,233000000,디지털/가전,27.571428571428573,70,5
4100943,2100023,DVD/음반,3100185,음반,대중가요/K-POP,1100005,도서/교육/음반,20.976653696498055,2597,417
4100814,2100017,실버/의료용품,3100165,의약외품/구급함,상처연고/흉터연고,1100003,건강/의료용품,22.95,804,28
4100706,2100013,주방가전,3100145,전자레인지,대우,1100002,가전,19.85185185185185,1761,66
4103348,2100097,자동차/오토바이용품,3100603,차량용 실내 용품,이외 차량용 실내용품,1100018,자동차/공구,11.328358208955224,3267,167
4101884,2100060,패션 잡화/소품,3100358,모자,이외 모자,1100010,브랜드 신발/잡화,4.375,1037,79
4104157,2100126,생수/음료,3100730,주스/과즙음료,포도/사과주스,1100021,커피/음료,23.83050847457627,707,116
4102836,2100086,남성 언더웨어,3100508,남성 팬티/트렁크,트렁크,1100015,언더웨어,9.181818181818182,1213,113
4100371,2100009,계절가전,3100065,난로/히터,라디에이터,1100002,가전,6.454545454545454,778,61
4102659,2100082,과일/견과,3100484,말랭이/건조과일,이외 말린과일/혼합,1100014,신선식품,17.733333333333334,592,71
4103111,2100093,육아용품,3100561,유아 바디/스킨케어 용품,유아용 선크림,1100017,유아동/출산/완구,56.6,451,21
4103706,2100109,쿡웨어,3100654,냄비/솥/찜기,압력솥,1100019,주방/욕실/생활용품,6.075,1090,84
4100042,2100002,조미료/소스/설탕,3100007,고추장/된장/간장,된장/청국장/낫또,1100000,가공식품,27.933333333333334,806,80
4103757,2100185,물놀이/스포츠 완구,3100927,물놀이 용품,물총/물풍선,1100017,유아동/출산/완구,5.0588235294117645,502,38
4104920,2100156,국내-향수,3100868,국내-향수,스틱향수/미니어쳐,1100025,향수,28.0,59,2
234030306,234030000,해외브랜드,234030300,색조화장품,팩트,234000000,뷰티,40.57142857142857,56,6
4102020,2100062,남성 의류,3100378,남성 후드/맨투맨,후드 집업,1100011,브랜드 의류,10.73076923076923,561,49
238060103,238060000,자전거/스키,238060100,보드/스키,보드장비,238000000,스포츠/자동차,12.0,49,3
4101499,2100042,바디로션/핸드/풋,3100284,핸드/풋케어,풋미스트/발냄새제거,1100008,바디/헤어,30.75,236,14
4100840,2100019,건강즙/자양강장/숙취해소,3100169,건강즙,마늘즙/흑마늘즙,1100004,건강식품/다이어트,26.166666666666668,160,14
4104054,2100122,미술/화방용품,3100714,스케치/드로잉 용품,크레파스,1100020,취미/문구/놀이,15.0,183,18
233110604,233110000,태블릿/음향기기,233110600,전자사전/학습기,전자책,233000000,디지털/가전,5.0,220,6
4103615,2100106,생활용품,3100641,일회용품,일회용 빨대,1100026,세제/구강,36.8,418,57
