,0
1209,
1210,6.0
1211,6.0
1212,5.0
1213,8.0
1214,7.0
1215,13.0
1216,8.0
1217,3.0
1218,
1219,13.0
1220,1.0
1221,7.0
1222,11.0
1223,3.0
1224,14.0
1225,6.0
1226,
1227,5.0
1228,1.0
1229,6.0
1230,10.0
1231,6.0
1232,37.0
1233,11.0
1234,3.0
1235,8.0
1236,41.0
1237,1.0
1238,19.0
1239,0.0
1240,
1241,148.0
1242,
1243,6.0
1244,6.0
1245,0.0
1246,10.0
1247,81.0
1248,14.0
1249,35.0
1250,15.0
1251,
1252,
1253,10.0
1254,11.0
1255,9.0
1256,7.0
1257,6.0
1258,6.0
1259,7.0
1260,10.0
1261,9.0
1262,8.0
1263,9.0
1264,
1265,13.0
1266,13.0
1267,8.0
1268,5.0
1269,9.0
1270,95.0
1271,
1272,
1273,
1274,5.0
1275,4.0
1276,1.0
1277,9.0
1278,2.0
1279,0.0
1280,6.0
1281,0.0
1282,0.0
1283,3.0
1284,2.0
1285,0.0
1286,12.0
1287,5.0
1288,24.0
1289,127.0
1290,
1291,133.0
1292,
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,3.0
1298,0.0
1299,0.0
1300,8.0
1301,0.0
1302,0.0
1303,11.0
1304,
1305,97.0
1306,
1307,11.0
1308,
1309,90.0
1310,0.0
1311,
1312,10.0
1313,11.0
1314,6.0
1315,7.0
1316,1.0
1317,26.0
1318,10.0
1319,3.0
1320,6.0
1321,12.0
1322,10.0
1323,25.0
1324,10.0
1325,
1326,0.0
1327,7.0
1328,
1329,
1330,
1331,3.0
1332,19.0
1333,24.0
1334,127.0
1335,
1336,11.0
1337,23.0
1338,
1339,8.0
1340,13.0
1341,27.0
1342,
1343,143.0
1344,
1345,
1346,6.0
1347,9.0
1348,0.0
1349,11.0
1350,23.0
1351,2.0
1352,2.0
1353,0.0
1354,0.0
1355,28.0
1356,22.0
1357,25.0
1358,35.0
1359,37.0
1360,
1361,
1362,20.0
1363,
1364,18.0
1365,4.0
1366,3.0
1367,8.0
1368,12.0
1369,47.0
1370,36.0
1371,
1372,9.0
1373,19.0
1374,8.0
1375,3.0
1376,8.0
1377,4.0
1378,0.0
1379,0.0
1380,10.0
1381,1.0
1382,0.0
1383,0.0
1384,83.0
1385,2.0
1386,1.0
1387,2.0
1388,6.0
1389,7.0
1390,5.0
1391,6.0
1392,1.0
1393,0.0
1394,4.0
1395,2.0
1396,4.0
1397,5.0
1398,3.0
1399,3.0
1400,0.0
1401,0.0
1402,
1403,0.0
1404,13.0
1405,19.0
1406,13.0
1407,2.0
1408,6.0
1409,0.0
1410,4.0
1411,7.0
1412,6.0
1413,7.0
1414,29.0
1415,
1416,12.0
1417,8.0
1418,7.0
1419,9.0
1420,12.0
1421,
1422,107.0
1423,
1424,
1425,6.0
1426,
1427,3.0
1428,9.0
1429,15.0
1430,7.0
1431,
1432,4.0
1433,1.0
1434,0.0
1435,6.0
1436,0.0
1437,161.0
1438,11.0
1439,
1440,8.0
1441,5.0
1442,6.0
1443,15.0
1444,8.0
1445,11.0
1446,7.0
1447,6.0
1448,7.0
1449,6.0
1450,14.0
1451,
1452,7.0
1453,11.0
1454,9.0
1455,2.0
1456,18.0
1457,6.0
1458,13.0
1459,
1460,
1461,13.0
1462,1.0
1463,
1464,26.0
1465,
1466,
1467,
1468,
1469,36.0
1470,133.0
1471,
1472,8.0
1473,7.0
1474,9.0
1475,9.0
1476,5.0
1477,
1478,3.0
1479,3.0
1480,8.0
1481,8.0
1482,32.0
1483,11.0
1484,0.0
1485,
1486,12.0
1487,3.0
1488,4.0
1489,2.0
1490,4.0
1491,
1492,
1493,24.0
1494,3.0
1495,0.0
1496,41.0
1497,0.0
1498,0.0
1499,0.0
1500,64.0
1501,0.0
1502,34.0
1503,0.0
1504,
1505,15.0
1506,49.0
1507,4.0
1508,11.0
1509,9.0
1510,0.0
1511,65.0
1512,12.0
1513,20.0
1514,
1515,
1516,29.0
1517,159.0
1518,
1519,9.0
1520,12.0
1521,5.0
1522,26.0
1523,7.0
1524,6.0
1525,11.0
1526,
1527,
1528,
1529,21.0
1530,20.0
1531,27.0
1532,15.0
1533,14.0
1534,14.0
1535,12.0
1536,6.0
1537,13.0
1538,
1539,14.0
1540,1.0
1541,6.0
1542,9.0
1543,5.0
1544,2.0
1545,12.0
1546,12.0
1547,5.0
1548,13.0
1549,38.0
1550,2.0
1551,8.0
1552,
1553,6.0
1554,
1555,13.0
1556,
1557,8.0
1558,19.0
1559,13.0
1560,18.0
1561,10.0
1562,100.0
1563,
1564,38.0
1565,20.0
1566,16.0
1567,14.0
1568,
1569,9.0
1570,6.0
1571,10.0
1572,14.0
1573,9.0
1574,9.0
1575,7.0
1576,9.0
1577,7.0
1578,9.0
1579,11.0
1580,40.0
1581,
1582,5.0
1583,7.0
1584,9.0
1585,29.0
1586,16.0
1587,11.0
1588,0.0
1589,33.0
1590,11.0
1591,13.0
1592,23.0
1593,17.0
1594,17.0
1595,
1596,27.0
1597,11.0
1598,
1599,7.0
1600,22.0
1601,4.0
1602,16.0
1603,15.0
1604,12.0
1605,
1606,
1607,0.0
1608,10.0
1609,17.0
1610,22.0
1611,15.0
1612,30.0
1613,8.0
1614,5.0
1615,0.0
1616,15.0
1617,5.0
1618,39.0
1619,9.0
1620,8.0
1621,12.0
1622,
1623,7.0
1624,18.0
1625,
1626,8.0
1627,8.0
1628,10.0
1629,7.0
1630,16.0
1631,6.0
1632,14.0
1633,16.0
1634,8.0
1635,10.0
1636,11.0
1637,9.0
1638,7.0
1639,
1640,
1641,2.0
1642,102.0
1643,3.0
1644,0.0
1645,5.0
1646,1.0
1647,5.0
1648,6.0
1649,9.0
1650,4.0
1651,5.0
1652,7.0
1653,3.0
1654,7.0
1655,
1656,
1657,
1658,
1659,52.0
1660,
1661,9.0
1662,7.0
1663,8.0
1664,11.0
1665,10.0
1666,10.0
1667,9.0
1668,8.0
1669,8.0
1670,5.0
1671,7.0
1672,7.0
1673,6.0
1674,0.0
1675,10.0
1676,8.0
1677,7.0
1678,8.0
1679,10.0
1680,9.0
1681,7.0
1682,5.0
1683,8.0
1684,
1685,0.0
1686,9.0
1687,10.0
1688,8.0
1689,8.0
1690,11.0
1691,8.0
1692,13.0
1693,12.0
1694,
1695,
1696,25.0
1697,
1698,
1699,6.0
1700,0.0
1701,7.0
1702,15.0
1703,17.0
1704,0.0
1705,27.0
1706,14.0
1707,
1708,
1709,20.0
1710,42.0
1711,20.0
1712,14.0
1713,22.0
1714,62.0
1715,
1716,8.0
1717,13.0
1718,12.0
1719,17.0
1720,25.0
1721,71.0
1722,48.0
1723,
1724,16.0
1725,
1726,6.0
1727,15.0
1728,5.0
1729,9.0
1730,34.0
1731,8.0
1732,12.0
1733,8.0
1734,23.0
1735,8.0
1736,45.0
1737,11.0
1738,
1739,27.0
1740,
1741,6.0
1742,1.0
1743,21.0
1744,18.0
1745,21.0
1746,0.0
1747,10.0
1748,4.0
1749,8.0
1750,19.0
1751,42.0
1752,
1753,7.0
1754,3.0
1755,3.0
1756,14.0
1757,3.0
1758,6.0
1759,9.0
1760,1.0
1761,1.0
1762,6.0
1763,11.0
1764,7.0
1765,2.0
1766,2.0
1767,1.0
1768,1.0
1769,8.0
1770,0.0
1771,4.0
1772,14.0
1773,0.0
1774,1.0
1775,12.0
1776,1.0
1777,5.0
1778,13.0
1779,13.0
1780,9.0
1781,
1782,2.0
1783,10.0
1784,13.0
1785,10.0
1786,7.0
1787,5.0
1788,4.0
1789,2.0
1790,7.0
1791,6.0
1792,5.0
1793,5.0
1794,7.0
1795,6.0
1796,13.0
1797,7.0
1798,77.0
1799,
1800,66.0
1801,16.0
1802,31.0
1803,6.0
1804,12.0
1805,15.0
1806,
1807,
1808,0.0
1809,
1810,3.0
1811,7.0
1812,5.0
1813,7.0
1814,9.0
1815,6.0
1816,
1817,
1818,16.0
1819,40.0
1820,
1821,0.0
1822,8.0
1823,12.0
1824,
1825,0.0
1826,9.0
1827,10.0
1828,10.0
1829,9.0
1830,12.0
1831,9.0
1832,8.0
1833,19.0
1834,9.0
1835,
1836,0.0
1837,21.0
1838,17.0
1839,24.0
1840,32.0
1841,45.0
1842,13.0
1843,3.0
1844,9.0
1845,15.0
1846,0.0
1847,9.0
1848,2.0
1849,0.0
1850,9.0
1851,2.0
1852,
1853,9.0
1854,4.0
1855,42.0
1856,3.0
1857,143.0
1858,
1859,7.0
1860,0.0
1861,
1862,9.0
1863,3.0
1864,7.0
1865,6.0
1866,6.0
1867,6.0
1868,8.0
1869,7.0
1870,14.0
1871,13.0
1872,17.0
1873,0.0
1874,13.0
1875,18.0
1876,9.0
1877,10.0
1878,6.0
1879,14.0
1880,
1881,11.0
1882,14.0
1883,15.0
1884,18.0
1885,
1886,13.0
1887,10.0
1888,12.0
1889,10.0
1890,10.0
1891,11.0
1892,21.0
1893,38.0
1894,69.0
1895,0.0
1896,
1897,7.0
1898,
1899,16.0
1900,7.0
1901,11.0
1902,14.0
1903,5.0
1904,20.0
1905,14.0
1906,7.0
1907,13.0
1908,8.0
1909,12.0
1910,
1911,93.0
1912,18.0
1913,13.0
1914,10.0
1915,6.0
1916,7.0
1917,11.0
1918,6.0
1919,14.0
1920,7.0
1921,0.0
1922,
1923,13.0
1924,13.0
1925,13.0
1926,15.0
1927,14.0
1928,39.0
1929,15.0
1930,15.0
1931,16.0
1932,9.0
1933,23.0
1934,19.0
1935,
1936,20.0
1937,12.0
1938,43.0
1939,14.0
1940,14.0
1941,8.0
1942,0.0
1943,6.0
1944,
1945,0.0
1946,6.0
1947,9.0
1948,4.0
1949,3.0
1950,6.0
1951,6.0
1952,10.0
1953,1.0
1954,0.0
1955,6.0
1956,2.0
1957,7.0
1958,
1959,
1960,8.0
1961,9.0
1962,9.0
1963,9.0
1964,12.0
1965,10.0
1966,
1967,
1968,28.0
1969,
1970,
1971,11.0
1972,16.0
1973,28.0
1974,
1975,36.0
1976,1.0
1977,38.0
1978,80.0
1979,0.0
1980,
1981,
1982,8.0
1983,
1984,13.0
1985,13.0
1986,20.0
1987,13.0
1988,8.0
1989,27.0
1990,37.0
1991,6.0
1992,8.0
1993,19.0
1994,16.0
1995,19.0
1996,
1997,14.0
1998,7.0
1999,13.0
2000,16.0
2001,15.0
2002,18.0
2003,11.0
2004,22.0
2005,15.0
2006,14.0
2007,
2008,6.0
2009,10.0
2010,11.0
2011,13.0
2012,11.0
2013,8.0
2014,15.0
2015,11.0
2016,13.0
2017,0.0
2018,9.0
2019,0.0
2020,10.0
2021,13.0
2022,0.0
2023,
2024,
2025,
2026,0.0
2027,8.0
2028,0.0
2029,7.0
2030,0.0
2031,7.0
2032,0.0
2033,7.0
2034,0.0
2035,6.0
2036,0.0
2037,10.0
2038,7.0
2039,6.0
2040,6.0
2041,7.0
2042,28.0
2043,18.0
2044,18.0
2045,29.0
2046,
2047,9.0
2048,11.0
2049,11.0
2050,23.0
2051,14.0
2052,
2053,
2054,15.0
2055,8.0
2056,52.0
2057,0.0
2058,17.0
2059,0.0
2060,20.0
2061,31.0
2062,3.0
2063,6.0
2064,0.0
2065,9.0
2066,8.0
2067,18.0
2068,7.0
2069,
2070,10.0
2071,17.0
2072,
2073,6.0
2074,16.0
2075,
2076,6.0
2077,18.0
2078,
2079,6.0
2080,10.0
2081,13.0
2082,0.0
2083,16.0
2084,2.0
2085,21.0
2086,0.0
2087,13.0
2088,0.0
2089,14.0
2090,6.0
2091,0.0
2092,0.0
2093,9.0
2094,0.0
2095,0.0
2096,13.0
2097,7.0
2098,9.0
2099,4.0
2100,1.0
2101,7.0
2102,11.0
2103,18.0
2104,0.0
2105,10.0
2106,3.0
2107,
2108,12.0
2109,18.0
2110,10.0
2111,26.0
2112,30.0
2113,13.0
2114,18.0
2115,12.0
2116,18.0
2117,18.0
2118,
2119,
2120,8.0
2121,12.0
2122,
2123,0.0
2124,9.0
2125,6.0
2126,1.0
2127,13.0
2128,0.0
2129,27.0
2130,0.0
2131,10.0
2132,0.0
2133,13.0
2134,11.0
2135,0.0
2136,0.0
2137,26.0
2138,
2139,
2140,
2141,14.0
2142,15.0
2143,
2144,
2145,
2146,15.0
2147,
2148,13.0
2149,6.0
2150,9.0
2151,6.0
2152,0.0
2153,21.0
2154,12.0
2155,12.0
2156,15.0
2157,6.0
2158,0.0
2159,6.0
2160,5.0
2161,16.0
2162,7.0
2163,13.0
2164,5.0
2165,9.0
2166,
2167,6.0
2168,7.0
2169,7.0
2170,9.0
2171,10.0
2172,13.0
2173,24.0
2174,0.0
2175,6.0
2176,4.0
2177,12.0
2178,
2179,0.0
2180,101.0
2181,66.0
2182,6.0
2183,8.0
2184,12.0
2185,
2186,21.0
2187,92.0
2188,41.0
2189,38.0
2190,2.0
2191,9.0
2192,0.0
2193,
2194,12.0
2195,9.0
2196,85.0
2197,
2198,
2199,10.0
2200,7.0
2201,10.0
2202,23.0
2203,
2204,8.0
2205,6.0
2206,6.0
2207,2.0
2208,0.0
2209,9.0
2210,6.0
2211,13.0
2212,
2213,20.0
2214,26.0
2215,8.0
2216,9.0
2217,10.0
2218,15.0
2219,17.0
2220,9.0
2221,1.0
2222,9.0
2223,10.0
2224,0.0
2225,14.0
2226,14.0
2227,12.0
2228,4.0
2229,
2230,
2231,6.0
2232,23.0
2233,20.0
2234,24.0
2235,
2236,13.0
2237,2.0
2238,11.0
2239,10.0
2240,38.0
2241,120.0
2242,0.0
2243,
2244,
2245,
2246,
2247,16.0
2248,16.0
2249,
2250,65.0
2251,107.0
2252,
2253,35.0
2254,78.0
2255,75.0
2256,
2257,
2258,13.0
2259,13.0
2260,28.0
2261,14.0
2262,13.0
2263,
2264,10.0
2265,11.0
2266,5.0
2267,40.0
2268,0.0
2269,0.0
2270,70.0
2271,0.0
2272,1.0
2273,0.0
2274,0.0
2275,21.0
2276,0.0
2277,
2278,9.0
2279,12.0
2280,34.0
2281,
2282,
