,biz_dt,mid,price,prodNo,dcateCd,dcateNm
380,2018-08-16 14:01:36,2583753,542000,101647068,4101182,Playstation
648,2018-08-16 17:02:02,20392734,516000,101575773,4101182,Playstation
623,2018-08-16 19:28:15,24284388,516000,101575773,4101182,Playstation
389,2018-08-16 20:46:16,15989187,542000,101647068,4101182,Playstation
631,2018-08-16 22:06:21,3635377,516000,101575773,4101182,Playstation
59,2018-08-16 22:29:05,3635377,515000,101547193,4101182,Playstation
400,2018-08-16 22:31:22,25263352,542000,101647068,4101182,Playstation
637,2018-08-16 23:48:42,3523806,516000,101575773,4101182,Playstation
393,2018-08-17 00:41:41,3504335,542000,101647068,4101182,Playstation
607,2018-08-17 08:52:02,11073184,516000,101575773,4101182,Playstation
641,2018-08-17 11:46:42,10544112,516000,101575773,4101182,Playstation
642,2018-08-17 12:16:11,7948654,516000,101575773,4101182,Playstation
632,2018-08-17 13:15:49,2140776,516000,101575773,4101182,Playstation
907,2018-08-17 13:59:07,1550240,404000,106329551,4101182,Playstation
780,2018-08-17 14:01:54,6753682,398000,101173552,4101182,Playstation
887,2018-08-17 14:02:11,1550240,404000,106329551,4101182,Playstation
888,2018-08-17 14:04:10,25327711,404000,106329551,4101182,Playstation
908,2018-08-17 14:14:09,4073246,404000,106329551,4101182,Playstation
917,2018-08-17 15:07:37,13063061,404000,106329551,4101182,Playstation
869,2018-08-17 15:18:16,13063164,404000,106329551,4101182,Playstation
881,2018-08-17 15:52:40,13619798,404000,106329551,4101182,Playstation
615,2018-08-17 15:59:35,2156099,516000,101575773,4101182,Playstation
624,2018-08-17 16:05:36,4567348,516000,101575773,4101182,Playstation
918,2018-08-17 16:11:57,4255485,404000,106329551,4101182,Playstation
882,2018-08-17 16:50:37,7067567,404000,106329551,4101182,Playstation
33,2018-08-17 18:08:25,12242379,516000,106327483,4101182,Playstation
44,2018-08-17 18:29:32,9209343,516000,106327483,4101182,Playstation
776,2018-08-17 20:18:04,16558800,398000,101173552,4101182,Playstation
855,2018-08-17 20:42:19,2368635,404000,106329551,4101182,Playstation
63,2018-08-17 22:50:59,2440162,515000,101547193,4101182,Playstation
893,2018-08-18 00:22:24,25124997,404000,106329551,4101182,Playstation
894,2018-08-18 01:09:29,7067567,404000,106329551,4101182,Playstation
891,2018-08-18 10:41:24,2685451,404000,106329551,4101182,Playstation
770,2018-08-18 11:01:48,11043731,398000,101173552,4101182,Playstation
43,2018-08-18 13:41:48,1015504,516000,106327483,4101182,Playstation
896,2018-08-18 14:48:33,13063061,404000,106329551,4101182,Playstation
897,2018-08-18 14:53:05,13063164,404000,106329551,4101182,Playstation
774,2018-08-18 15:46:04,6753682,398000,101173552,4101182,Playstation
883,2018-08-18 22:06:31,2431820,404000,106329551,4101182,Playstation
870,2018-08-18 22:29:03,25124997,404000,106329551,4101182,Playstation
923,2018-08-19 09:53:01,25529132,404000,106329551,4101182,Playstation
873,2018-08-19 11:53:57,10548380,404000,106329551,4101182,Playstation
47,2018-08-19 14:23:09,15285980,516000,106327483,4101182,Playstation
871,2018-08-19 15:33:40,24010899,404000,106329551,4101182,Playstation
866,2018-08-19 15:48:37,2813026,404000,106329551,4101182,Playstation
909,2018-08-19 17:17:14,25530228,404000,106329551,4101182,Playstation
856,2018-08-19 23:14:52,2638533,404000,106329551,4101182,Playstation
911,2018-08-19 23:54:55,2638533,404000,106329551,4101182,Playstation
874,2018-08-20 00:35:28,10548380,404000,106329551,4101182,Playstation
332,2018-08-20 01:36:58,11154874,515000,106195273,4101182,Playstation
48,2018-08-20 03:55:30,15366337,516000,106327483,4101182,Playstation
30,2018-08-20 08:29:05,2435585,516000,106327483,4101182,Playstation
783,2018-08-20 09:51:24,1624163,398000,101173552,4101182,Playstation
862,2018-08-20 11:39:05,25528340,404000,106329551,4101182,Playstation
863,2018-08-20 12:05:04,8288060,404000,106329551,4101182,Playstation
67,2018-08-20 14:27:56,15570821,515000,101547193,4101182,Playstation
57,2018-08-20 14:45:08,4819538,515000,101547193,4101182,Playstation
58,2018-08-20 14:49:03,4819538,515000,101547193,4101182,Playstation
919,2018-08-20 17:07:33,12514868,404000,106329551,4101182,Playstation
900,2018-08-20 18:16:44,23157736,404000,106329551,4101182,Playstation
65,2018-08-20 18:19:32,7603016,515000,101547193,4101182,Playstation
920,2018-08-20 18:22:19,1624537,404000,106329551,4101182,Playstation
901,2018-08-20 18:35:54,15173167,404000,106329551,4101182,Playstation
34,2018-08-20 21:06:44,1607507,516000,106327483,4101182,Playstation
21,2018-08-20 21:10:41,1607507,516000,106327483,4101182,Playstation
22,2018-08-20 22:24:31,16930105,516000,106327483,4101182,Playstation
69,2018-08-21 00:20:00,5168908,515000,101547193,4101182,Playstation
62,2018-08-21 06:18:14,25542865,515000,101547193,4101182,Playstation
876,2018-08-21 12:01:44,7067567,404000,106329551,4101182,Playstation
18,2018-08-21 13:36:08,4427603,516000,106327483,4101182,Playstation
864,2018-08-21 14:28:27,20288563,404000,106329551,4101182,Playstation
45,2018-08-21 16:18:59,14333650,516000,106327483,4101182,Playstation
36,2018-08-21 18:12:46,25544391,516000,106327483,4101182,Playstation
40,2018-08-21 21:17:49,6604237,516000,106327483,4101182,Playstation
782,2018-08-21 21:53:13,17238653,398000,101173552,4101182,Playstation
38,2018-08-21 23:34:22,5619784,516000,106327483,4101182,Playstation
66,2018-08-22 01:44:49,17679138,515000,101547193,4101182,Playstation
773,2018-08-22 09:35:02,21471180,398000,101173552,4101182,Playstation
884,2018-08-22 10:11:23,21471180,404000,106329551,4101182,Playstation
885,2018-08-22 10:21:12,21471180,404000,106329551,4101182,Playstation
60,2018-08-22 13:57:50,23362748,515000,101547193,4101182,Playstation
842,2018-08-22 14:42:08,4073246,363000,101576275,4101182,Playstation
889,2018-08-22 14:43:58,4073246,404000,106329551,4101182,Playstation
331,2018-08-22 15:01:41,2658531,515000,106195273,4101182,Playstation
902,2018-08-22 15:25:49,6031973,404000,106329551,4101182,Playstation
903,2018-08-22 15:51:02,25553658,404000,106329551,4101182,Playstation
912,2018-08-22 16:11:59,1550240,404000,106329551,4101182,Playstation
904,2018-08-22 16:18:00,25327711,404000,106329551,4101182,Playstation
913,2018-08-22 18:16:09,12381744,404000,106329551,4101182,Playstation
772,2018-08-22 19:38:09,9854588,398000,101173552,4101182,Playstation
39,2018-08-22 21:23:19,8622435,516000,106327483,4101182,Playstation
329,2018-08-23 04:20:03,23631455,515000,106195273,4101182,Playstation
769,2018-08-23 08:58:15,8891525,398000,101173552,4101182,Playstation
64,2018-08-23 15:26:10,1612829,515000,101547193,4101182,Playstation
898,2018-08-23 19:25:44,23625843,404000,106329551,4101182,Playstation
17,2018-08-23 22:27:03,25563294,516000,106327483,4101182,Playstation
70,2018-08-24 11:40:25,3544662,515000,101547193,4101182,Playstation
71,2018-08-24 12:47:49,4297014,515000,101547193,4101182,Playstation
915,2018-08-24 13:43:02,20868516,404000,106329551,4101182,Playstation
41,2018-08-24 17:28:34,3410999,516000,106327483,4101182,Playstation
844,2018-08-24 17:56:10,11658165,363000,101576275,4101182,Playstation
68,2018-08-24 17:57:55,11087657,515000,101547193,4101182,Playstation
840,2018-08-24 21:42:22,2609952,363000,101576275,4101182,Playstation
841,2018-08-25 17:40:22,6889753,363000,101576275,4101182,Playstation
905,2018-08-25 19:51:35,23625843,404000,106329551,4101182,Playstation
921,2018-08-25 21:15:36,2595156,404000,106329551,4101182,Playstation
857,2018-08-25 22:54:11,3114238,404000,106329551,4101182,Playstation
865,2018-08-25 23:18:49,1575101,404000,106329551,4101182,Playstation
781,2018-08-26 17:26:13,11611537,398000,101173552,4101182,Playstation
815,2018-08-26 18:29:36,10289701,515000,105241314,4101182,Playstation
880,2018-08-26 20:57:53,5856987,404000,106329551,4101182,Playstation
858,2018-08-27 00:07:27,20012046,404000,106329551,4101182,Playstation
52,2018-08-27 16:01:52,3824037,363000,100163384,4101182,Playstation
333,2018-08-27 16:17:45,10633481,515000,106195273,4101182,Playstation
639,2018-08-27 19:36:19,14429770,516000,101575773,4101182,Playstation
877,2018-08-27 20:46:40,7067567,404000,106329551,4101182,Playstation
185,2018-08-27 21:39:44,25587317,140000,101115768,4101182,Playstation
916,2018-08-28 00:32:22,7067567,404000,106329551,4101182,Playstation
35,2018-08-28 08:30:59,3047387,516000,106327483,4101182,Playstation
914,2018-08-28 11:44:06,9103036,404000,106329551,4101182,Playstation
46,2018-08-28 13:55:49,24055979,516000,106327483,4101182,Playstation
42,2018-08-28 14:05:48,24056250,516000,106327483,4101182,Playstation
37,2018-08-29 08:03:48,1267700,516000,106327483,4101182,Playstation
890,2018-08-29 08:24:21,25590726,404000,106329551,4101182,Playstation
616,2018-08-29 09:53:36,22763456,516000,101575773,4101182,Playstation
29,2018-08-29 12:35:33,3554496,516000,106327483,4101182,Playstation
