,time
1662,4.0
1663,24.0
1665,17.0
1666,21.0
1667,17.0
1669,28.0
1670,4.0
1672,8.0
1673,4.0
1674,13.0
1675,4.0
1676,1.0
1678,9.0
1679,49.0
1680,5.0
1681,28.0
1683,11.0
1684,11.0
1686,8.0
1687,11.0
1690,33.0
1692,55.0
1694,29.0
1695,31.0
1697,129.0
1698,11.0
1699,22.0
1700,13.0
1701,21.0
1703,187.0
1705,19.0
1706,46.0
1707,21.0
1708,15.0
1709,67.0
1711,23.0
1712,26.0
1713,3.0
1714,7.0
1715,3.0
1716,25.0
1717,12.0
1718,39.0
1720,48.0
1721,16.0
1722,44.0
1724,16.0
1725,3.0
1726,25.0
1727,30.0
1729,20.0
1730,10.0
1731,38.0
1732,20.0
1733,9.0
1734,23.0
1735,28.0
1736,20.0
1737,25.0
1739,62.0
1741,92.0
1742,47.0
1743,15.0
1745,98.0
1746,38.0
1748,48.0
1749,7.0
1750,49.0
1752,14.0
1753,12.0
1755,25.0
1756,2.0
1757,52.0
1758,5.0
1759,14.0
1760,56.0
1761,17.0
1762,36.0
1764,24.0
1765,39.0
1766,17.0
1767,19.0
1768,27.0
1769,16.0
1770,30.0
1771,30.0
1775,65.0
1776,1.0
1777,89.0
1779,36.0
1781,72.0
1783,54.0
1785,47.0
1788,32.0
1789,25.0
1790,4.0
1791,22.0
1792,20.0
1793,23.0
1794,22.0
1795,18.0
1796,30.0
1798,51.0
1799,39.0
1800,99.0
1802,95.0
1803,60.0
1804,40.0
1807,7.0
1808,16.0
1810,13.0
1811,28.0
1813,16.0
1814,36.0
1815,7.0
1816,19.0
1817,8.0
1818,13.0
1820,19.0
1822,21.0
1825,23.0
1826,19.0
1827,7.0
1828,26.0
1829,9.0
1830,20.0
1832,16.0
1834,6.0
1835,40.0
1836,36.0
1838,73.0
1839,50.0
1840,27.0
1841,24.0
1842,29.0
1844,28.0
1845,5.0
1847,13.0
1848,8.0
1850,152.0
1853,58.0
1855,94.0
1856,45.0
1857,41.0
1858,10.0
1859,14.0
1861,16.0
1862,15.0
1863,17.0
1864,43.0
1865,10.0
1866,29.0
1867,15.0
1868,12.0
1869,3.0
1871,19.0
1872,7.0
1873,6.0
1874,9.0
1876,14.0
1877,46.0
1879,14.0
1880,16.0
1882,41.0
1883,72.0
1885,18.0
1886,7.0
1887,32.0
1891,37.0
1892,28.0
1893,23.0
1895,26.0
1896,20.0
1898,31.0
1900,58.0
1901,36.0
1903,24.0
1904,34.0
1905,27.0
1909,203.0
1911,66.0
1912,28.0
1913,32.0
1914,22.0
1915,18.0
1918,190.0
1919,15.0
1921,56.0
1922,64.0
1923,19.0
1924,14.0
1925,32.0
1927,57.0
1929,93.0
1930,21.0
1931,35.0
1932,17.0
1937,38.0
1938,151.0
1940,14.0
1942,118.0
1943,36.0
1944,16.0
1946,95.0
1947,39.0
1948,21.0
1949,20.0
1951,30.0
1952,28.0
1953,30.0
1955,62.0
1957,32.0
1958,28.0
1959,58.0
1960,85.0
1963,145.0
1966,155.0
1968,66.0
1969,50.0
1971,63.0
1972,82.0
1973,5.0
1974,5.0
1976,26.0
1977,25.0
1978,9.0
1979,32.0
1980,43.0
1981,48.0
1982,25.0
1985,9.0
1986,7.0
1987,15.0
1988,41.0
1989,3.0
