,biz_dt,mid,price,prodNo,dcateCd,dcateNm
561,2018-08-16 17:23:41,1167947,649000,100231497,4104294,이외 브랜드
343,2018-08-16 18:19:57,3759936,219000,100228871,4104294,이외 브랜드
788,2018-08-16 18:22:19,3759936,219000,100364713,4104294,이외 브랜드
732,2018-08-16 20:00:16,19255842,289000,100275620,4104294,이외 브랜드
581,2018-08-16 21:25:25,23107339,175000,100051565,4104294,이외 브랜드
500,2018-08-16 23:12:30,21627056,259000,101729811,4104294,이외 브랜드
730,2018-08-17 11:24:24,8241226,479000,100229580,4104294,이외 브랜드
480,2018-08-17 12:47:47,3118362,82900,100051493,4104294,이외 브랜드
296,2018-08-17 13:26:20,8470920,204000,100342481,4104294,이외 브랜드
432,2018-08-17 14:56:57,10832775,134900,100043331,4104294,이외 브랜드
202,2018-08-17 15:30:18,13923965,69000,101330033,4104294,이외 브랜드
423,2018-08-17 15:42:00,4259208,134900,100043331,4104294,이외 브랜드
503,2018-08-17 16:55:27,25520355,329000,101124959,4104294,이외 브랜드
691,2018-08-17 17:21:15,21321249,114000,100077174,4104294,이외 브랜드
662,2018-08-18 00:45:53,25315968,269000,100480882,4104294,이외 브랜드
716,2018-08-18 09:19:23,23591866,219000,100813718,4104294,이외 브랜드
665,2018-08-18 12:56:28,25315968,269000,100480882,4104294,이외 브랜드
201,2018-08-18 15:27:40,4339596,69000,101330033,4104294,이외 브랜드
668,2018-08-18 15:36:14,10456268,157000,100830107,4104294,이외 브랜드
13,2018-08-18 15:42:52,7261331,379000,100134339,4104294,이외 브랜드
418,2018-08-18 17:53:14,9194233,134900,100043331,4104294,이외 브랜드
854,2018-08-18 18:32:55,1115061,269000,100511042,4104294,이외 브랜드
7,2018-08-18 19:49:39,23863519,259000,100445176,4104294,이외 브랜드
439,2018-08-18 20:39:14,18330237,85000,101330313,4104294,이외 브랜드
661,2018-08-18 23:04:06,25315968,269000,100480882,4104294,이외 브랜드
660,2018-08-18 23:10:23,25315968,269000,100480882,4104294,이외 브랜드
170,2018-08-18 23:52:06,3740767,209000,100639808,4104294,이외 브랜드
362,2018-08-19 15:49:02,3048807,359000,100230823,4104294,이외 브랜드
10,2018-08-19 21:22:05,11056692,169000,105456045,4104294,이외 브랜드
305,2018-08-19 21:52:58,3231900,189000,101177415,4104294,이외 브랜드
11,2018-08-20 00:17:57,19932920,102900,100101572,4104294,이외 브랜드
663,2018-08-20 01:19:23,21324897,269000,100480882,4104294,이외 브랜드
740,2018-08-20 02:17:01,1131003,189000,100227960,4104294,이외 브랜드
