,index,dcateCd,rcp_diff,rcp_x,rcp_y,totalOrderUserCnt_x,totalOrderUserCnt_y
363,89,232010101,0.011270652412452002,0.057591623036649005,0.06886227544910101,191.0,334
364,780,237010401,0.011262514975731996,0.14120980783519502,0.152472322810927,137278.0,154369
365,1007,238060401,0.011244627725514003,0.11483047191786701,0.126075099643381,11591.0,14301
366,1056,239010102,0.011217453946691006,0.073170731707317,0.084388185654008,246.0,474
367,1052,238080403,0.011070985963654995,0.064961145551383,0.076032131515038,11453.0,16059
368,827,237030203,0.011026995815424004,0.10691274434858501,0.11793974016400902,9157.0,10853
369,838,237030404,0.011018072430580991,0.05460750853242301,0.065625580963004,4395.0,5379
370,1028,238070201,0.01098981401567499,0.07202816138640601,0.083017975402081,3693.0,4228
371,1252,240030401,0.010964489669222977,0.341480406125136,0.352444895794359,222493.0,243221
372,1374,242030301,0.010904309199193996,0.07286092913937,0.083765238338564,19997.0,27398
373,1436,244010205,0.010722093050581,0.079117586981684,0.089839680032265,14687.0,29753
374,1387,243010202,0.010654256081242985,0.12991880074953102,0.140573056830774,4803.0,6317
375,1352,242030101,0.010627185708093997,0.10838817688488601,0.11901536259298001,34644.0,39121
376,442,233040104,0.010536068991858993,0.131598850400847,0.142134919392706,19833.0,63890
377,591,233100122,0.010525854572663002,0.05045871559633,0.060984570168993,436.0,1361
378,1214,240010405,0.010469501038958995,0.22679673593934202,0.23726623697830102,129777.0,135447
379,901,237060207,0.010371763036549991,0.18057080904508402,0.190942572081634,142044.0,147437
380,569,233090607,0.010329861111111005,0.05,0.06032986111111101,1820.0,2304
381,176,232051104,0.010162162383612006,0.091937765205091,0.10209992758870301,707.0,1381
382,1006,238060204,0.010128990095944007,0.10810492421267501,0.11823391430861901,25466.0,33679
383,848,237040303,0.010085987705492003,0.096217927357547,0.106303915063039,12004.0,15070
384,982,238050101,0.010009001416716012,0.144382830149928,0.15439183156664402,53559.0,61603
385,686,235010503,0.009872939560438998,0.096153846153846,0.106026785714285,312.0,896
386,768,237010102,0.009850549635390005,0.219887540692512,0.22973809032790202,3379.0,4849
387,1295,241010301,0.009831103174547995,0.414353366957994,0.424184470132542,155838.0,165230
388,961,238030303,0.009789892503142002,0.038793103448275,0.048582995951417005,232.0,247
389,873,237050303,0.009743065139069002,0.12083716326097702,0.13058022840004602,14143.0,17338
390,1166,239030206,0.009690965866264,0.054054054054054,0.063745019920318,111.0,251
391,870,237050202,0.009688080839813012,0.101960784313725,0.11164886515353802,5100.0,5992
392,507,233070107,0.009646568209286,0.068767908309455,0.078414476518741,349.0,2321
393,1015,238060601,0.009602825311201005,0.10538074846397301,0.11498357377517401,5371.0,7001
394,69,231050202,0.009575784771551993,0.130053334174898,0.13962911894645,31687.0,35537
395,38,231030302,0.009565650792604997,0.049218031278748006,0.058783682071353004,10870.0,13286
396,960,238030302,0.009564704090350998,0.09087961086339601,0.100444314953747,12335.0,13729
397,884,237050505,0.009509002256544996,0.06026118041876401,0.069770182675309,13707.0,16970
398,1306,241030101,0.009492797854215015,0.117339734538266,0.12683253239248102,14164.0,16439
399,49,231040105,0.009440797403799994,0.28046400294605,0.28990480034985,27155.0,29727
400,1430,244010103,0.009418235767299,0.08180672676165501,0.09122496252895401,20634.0,29356
401,47,231040103,0.009407441767152969,0.37894034168170604,0.388347783448859,40447.0,44867
402,0,231010101,0.00939637452988,0.11151171774401201,0.12090809227389201,23298.0,27310
403,1205,240010302,0.009380802341431002,0.096595570139458,0.10597637248088901,4876.0,5756
404,1312,241030203,0.009352654487299994,0.14102731526825502,0.150379969755555,91890.0,104482
405,941,238020107,0.009290449163867003,0.053310613437195,0.062601062601062,4108.0,4329
406,478,233060101,0.009284489259547002,0.06019317450096501,0.06947766376051201,38825.0,51844
407,864,237040505,0.009278303839798996,0.15092173166946302,0.160200035509262,158506.0,168970
408,1060,239010205,0.009222170849423006,0.098926380368098,0.10814855121752101,5216.0,7351
409,911,237060502,0.009135580557497004,0.048054145516074,0.05718972607357101,26595.0,44501
410,529,233080118,0.009114521191457003,0.07289079551441201,0.08200531670586901,53148.0,71849
411,59,231040405,0.009098687882782008,0.34548360486698204,0.35458229274976405,96980.0,102907
412,1023,238070107,0.009066141732284004,0.054133858267716,0.0632,3048.0,3750
